YKG,0,YPJ,0
YKG,0,YQC,0
YKG,0,YVP,0
YKL,0,YQB,0
YKL,0,YVP,0
YKL,0,YWK,0
YKL,0,YZV,0
YPH,0,YPX,0
YPH,0,YUD,0
YPH,0,YVP,0
YPJ,0,YKG,0
YPJ,0,YTQ,0
YPJ,0,YVP,0
YPX,0,AKV,0
YPX,0,YGL,0
YPX,0,YPH,0
YPX,0,YVP,0
YQB,0,YKL,0
YQB,0,YUL,0
YQC,0,YKG,0
YQC,0,YWB,0
YSK,0,YGW,0
YSK,0,YUD,0
YTQ,0,YPJ,0
YTQ,0,YVP,0
YUD,0,YGW,0
YUD,0,YPH,0
YUD,0,YSK,0
YUL,0,YGL,0
YUL,0,YGW,0
YUL,0,YQB,0
YUL,0,YUY,0
YUY,0,YGW,0
YUY,0,YUL,0
YVP,0,XGR,0
YVP,0,YGW,0
YVP,0,YKG,0
YVP,0,YKL,0
YVP,0,YPH,0
YVP,0,YPJ,0
YVP,0,YPX,0
YVP,0,YTQ,0
YWB,0,YQC,0
YWB,0,YZG,0
YWK,0,YKL,0
YWK,0,YZV,0
YZG,0,YIK,0
YZG,0,YWB,0
YZV,0,YKL,0
YZV,0,YWK,0
JIB,0,DXB,0
JIB,0,JED,0
JIB,0,MGQ,0
MGQ,0,NBO,0
NBO,0,MGQ,0
BKK,0,SIN,0
DRW,0,SIN,0
HAK,0,SIN,0
HGH,0,SIN,0
HKG,0,SIN,0
HKT,0,SIN,0
KIX,0,MNL,0
KIX,0,TPE,0
KUL,0,SIN,0
MNL,0,KIX,0
MNL,0,SIN,0
PEN,0,SIN,0
PER,0,SIN,0
PNH,0,SIN,0
REP,0,SIN,0
RGN,0,SIN,0
SGN,0,SIN,0
SIN,0,BKK,0
SIN,0,DRW,0
SIN,0,HAK,0
SIN,0,HGH,0
SIN,0,HKG,0
SIN,0,HKT,0
SIN,0,KUL,0
SIN,0,MNL,0
SIN,0,PEN,0
SIN,0,PER,0
SIN,0,PNH,0
SIN,0,REP,0
SIN,0,RGN,0
SIN,0,SGN,0
SIN,0,SWA,0
SIN,0,TPE,0
SWA,0,SIN,0
TPE,0,KIX,0
TPE,0,SIN,0
ACH,0,EBA,0
DRS,0,ZRH,0
DUS,0,FDH,0
EBA,0,ACH,0
EBA,0,FDH,0
EBA,0,MUC,0
EBA,0,ZRH,0
FDH,0,DUS,0
FDH,0,EBA,0
FDH,0,HAM,0
FDH,0,OLB,0
FDH,0,TXL,0
FDH,0,ZAD,0
FMM,0,NAP,0
GRZ,0,ZRH,0
HAM,0,FDH,0
MUC,0,EBA,0
NAP,0,FMM,0
OLB,0,FDH,0
SZG,0,ZRH,0
TXL,0,FDH,0
ZAD,0,FDH,0
ZRH,0,DRS,0
ZRH,0,EBA,0
ZRH,0,GRZ,0
ZRH,0,SZG,0
ATL,0,LWB,0
ATL,0,MCN,0
ATL,0,MEI,0
ATL,0,MSL,0
